sentimen,tweet,tweet_clean
negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦",@prabowo indonesia tidak harga bangsa asing berita hoax buat kuasa ya @rockygerung
netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ",batu langka tasbih jokowi hadiah habib luthfi harga mercy
netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp",era jokowi ekonomi indonesia #01indonesiamaju #jokowilagi #jokowimenangtotaldebat pic twitter com w2ythnxstp
positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",sumatera selatan asi games dampak pd ekonomi langsung prediksi capai triliun indonesia maju jokowi hebat
negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",negara ngutang bangun infrastruktur udah dipake masyarakat masyarakat ngeluh negara ngutang negara ngutang utang bayar kalo negara dapet hasil hasil negara ya pajak
netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",bisikin jokowi cm mikirin putar duit golong e sports sekian tentu tumbuh ekonomi indonesia bukan fundamental prabowo bhs sederhana mrpkan aspek fundamental ekonomi
positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,tenang msih ngoceh ttp jokowi harga mati
positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS",#uasdifitnahkejibalasditps kerjasa ekonomi bilateral multilateral doa tps dengar suara hati #uasdifitnahkejibalasditps
netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘",iya bener aa mantap pilih pimpin bs solusi @jokowi bukan salah pimpin @sbyudhoyono dismash mas bowo koalisi klau mengantam tmn koalisi plg pilih pimpin rajin ibadah wajib ngaji jumat
negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,prabowo sandi sepakat tak ambil gaji negara susah #goaceh
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ",#pilihorangbaik #pilihjelasislamnya #pilihbajuputih pilih pimpin udh capai capai ekonomi perintah jokowi coblos yuk kerja
positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv",calon presiden jokowi program kartu pra kerja insentif kurun bukan gaji masyarakat belum hasil #2019jokowikyaimaruf pic twitter com nj2hhmiizv
negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.",nggak nginti lu to @yunartowijaya si @at abdillahtoha nggak ngacaaa nggak ngajarin sandi ekonomi banding jokowi
positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ",jokowi perintah upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak #2019jokowikyaimaruf #rakyatinginjokowimenang pic twitter com yzpyj7ihso
netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,",terlalu berat nge bahas ekonomi angka2 bahas mobil lejen aj
netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘",mantulz sekali isi tenang dg umroh kel cinta istri anak2 ahirnya keluarga asset plg harga sehat sll pakdeee
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,#pilihorangbaik #pilihjelasislamnya #pilihbajuputih sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri coblos yuk kerja pic twitter com 4vpqigzacq
positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS",pakta integritas prabowo sandi ulama libat ijtimak ulama sangat pancasila nkri harga mati tidak khilafah khilafah bual makhluk kolam #uasdifitnahkejidanbrutal #uasdifitnahkejibalasditps
netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­",dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx nggak ribu
positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,prabowo tni puluh nggak ambil gaji rupiah sandi wagub susah ya cari orang nggak ambil gaji hasil kerja negara pic twitter com ux372njznw
netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦,assalamu alaikum suara sgt harga dlm upaya menang @prabowo @sandiuno hrs rela suara jkt ktp daerah moga suara tidak serta balas doa moga allah swt kabul aamiin ya rabb
negatif,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦",pilih prabowo sandiaga janji tak ambil gaji orang orang superkaya mbok ya rendah hati kata2 konotasi angkuh
negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In,@prabowo nggak harga rawan puasa tirakat munajad malam suntuk doa menang mhn balas tweet kontribusi ngopi rokok dll tirakat mujahadah tidak gagal ayo tirakat munajad in
positif,Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi,prabowo sandi menang otomatis sedekah kaum farkir miskin dhuafa gaji berfua tidak ambil sedekah #17apriltusukprabowosandi
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,#pilihorangbaik #pilihjelasislamnya #pilihbajuputih percaya pd mrk alam @jokowi milik wakil alam bidang ekonomi coblos yuk ya
negatif,"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***",ummat islam waras cerdas senang amal coblos prabowo andil dlm amal gaji beliau tidak ambil untk amal
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦",#pilihorangbaik #pilihjelasislamnya #pilihbajuputih hasil tidak bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos yuk ya
negatif,"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno",model ngeles truk ketaker ber busa2 depan sandi ngomongin ekonomi makro dg congkak untung sandi sabar nggak kick pantesan menteri2nya pintar2 mbodoni lha juragan kyk gin pek k #uasdifitnahkejibalasditps @prabowo @sandiuno
positif,"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS",pilih bersodakoh karna prabowo sandi sumbang gaji negara fakir miskin yatim piatu masjid jadi prabowo sandi presiden wakil presiden ri #save uas
positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur,alhamdulillah capres sedekah gaji rakyat miskin korban2 gempa2 pasigala butuh bantu @prabowo @sandiuno @karniilyas @rockygerung #prabowosandi #02menangadilmakmur
netral,"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS",no donk mang sayah percaya saudara juang ikhlas negeri ubah lebik lg masyarakat damai tenang aman sejahtera tingkat harga2 rendah stabil #uasdifitnahkejibalasditps #uasdifitnahkejibalasditps
negatif,@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,@divhumas polri gakan ladenin pulisi karna pulisi gaji @jokowi pake duit @jokowi buka rakyat lapor tunggu udah ganti presiden #uasdifitnahkejidanbrutal #uasdifitnahkejidanbrutal #uasdifitnahkejidanbrut
negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦",bagus dukung jokowi tebang pohon bukan dg golok gergaji dg ranting pohon elektabilitas jokowi nyungseb bukan lawan politik dukung tolol pelihara dasar ebong
positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ ",tidak harga cabai rp harga bawang rp petan kasihan jokowi #2019jokowikyaimaruf #1periodelagiuntukjokowi #pesonabonosurfing pic twitter com napi0sorei
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com,presiden jokowi raja salman sepakat tingkat kerjasama ekonomi via @apahabar com
negatif,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull,kelar hidup bisa harga mahal turun solusi kubu prabowo bahlull
positif,Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube,tak terima gaji sbg presiden wapres sumbang negara fakir miskin dlm sejarah bangsa indonesia debat pilpres nyata tutup prabowo sandiaga uno @youtube
positif,"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.",infrastructure bangun pakai uang pribadi nggak dukung tidak pakai pajak warga negara bayar
positif,"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦",#pilihorangbaik #pilihygjelasislamnya #pilihygbajuputih harga anugerah bukti @jokowi sosok pimpin aku integritas
positif,"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",satu jokowi kma #pilihorangbaik #pilihjelasislamnya #pilihbajuputih capai hasil capai tumbuh ekonomi era perintah @jokowi jk sangat tingkat
netral,Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci,orang negeri sangat harga prestasi jokowi negara caci
